num_bikes_available;num_ebikes_available;station_id;legacy_id;num_docks_available;is_installed;num_docks_disabled;num_bikes_disabled;name;has_kiosk;lat;lon;capacity_original;zipCode;capacity_zip_sum;
5;0;40914c6b-293d-49ac-b83a-d9d4af998aea;3969;10;1;0;4;St Ann's Ave & Westchester Ave;True;40.815.887;-73.911.918;19;10455;464;
14;14;6651fc84-09d1-4cdb-a8d5-7d6345fb3466;5070;5;1;0;0;50 Ave & 65 St;True;4.073.707;-7.390.077;19;11377;1095;
13;0;1,85426E+18;1,85426E+18;5;1;0;1;60 St & 37 Ave;True;4.074.952;-7.390.265;19;11377;1095;
35;5;66de44ba-0aca-11e7-82f6-3863bb44ef7c;3389;2;1;0;2;Carroll St & Columbia St;True;406.830.456;-7.400.348.559;39;11231;986;
25;1;7a771842-c090-4da1-8c13-72b7f4f50a87;3668;2;1;0;9;Leonard St & Nassau Ave;True;407.239.567.849.954;-7.394.984.364.509.580;36;11222;1314;
25;0;1,7867E+18;1,7867E+18;17;1;1;3;N 10 St & Berry St;True;40.720.253;-73.957.082;47;11249;722;
16;2;9b4a92ae-cefe-467a-8e35-5ce02d4f3a45;4182;0;1;0;3;Louis Nine Blvd & Intervale Ave;True;40.831.998;-73.892.686;19;10459;482;
20;2;c530a1cb-7c60-4651-be8a-9bfa5eb43f8a;4161;14;1;0;1;3 Ave & E 174 St;True;4.084.224;-738.985;35;10457;836;
0;0;4a4c7548-2466-48ef-8d7e-0aa4d6acb69e;4910;19;1;0;1;Somers St & Rockaway Ave;True;4.067.872;-7.391.105;20;11233;877;
21;8;66db46d7-0aca-11e7-82f6-3863bb44ef7c;266;6;1;0;2;Ave D & E 8 St;True;4.072.368.361;-7.397.574.813;30;10009;1560;
1;0;514afe43-84d4-4941-8281-75a93c5cd365;4130;15;1;0;5;Morris Ave & McClellan St;True;40.831.584;-739.149;22;10456;607;
62;21;a19d37cc-6070-4e4c-b4ad-3ee21e4a11cb;4280;2;1;0;4;W 10 St & Washington St;True;4.073.342.399.437.080;-7.400.851.495.563.980;68;10014;1252;
35;5;b30815c0-99b6-451b-be15-902992cb8abb;3812;23;1;0;2;University Pl & E 14 St;True;40.734.814;-73.992.085;61;10003;2245;
10;0;bf317efc-13f1-42be-8243-373a29354033;3494;12;1;0;3;E 115 St & Lexington Ave;True;40.797.911;-739.423;25;10029;639;
18;5;1,88729E+18;1,88729E+18;10;1;0;0;E 191 St & Bathgate Ave;True;408.601;-738.866;30;10458;772;
9;1;fec4aa1b-9fc1-4dd9-ab39-c1d7370a6e54;4143;11;1;0;1;Hunts Point Ave & Bryant Ave;True;40.813.991;-738.855;21;10474;130;
4;3;d8e02e7b-632b-4fbe-95b9-80efa47473e3;4437;17;1;0;0;Broadway & W 185 St;True;40.852.538;-7.393.441;21;10033;358;
0;0;d08be53f-9691-4d6f-81f3-7d052abb7dd6;5017;16;1;1;2;Albany Ave & Carroll St;True;406.667;-7.393.972;19;11213;698;
0;0;1,87502E+18;1,87502E+18;21;1;0;0;91 St & 23 Ave;True;4.076.768;-7.387.899;22;11369;564;
23;22;f06c01c3-fd7f-443c-a0c7-fc9233d77f6a;4417;2;1;0;0;67 St & Erik Pl;True;40.633.385;-74.016.562;25;11220;832;
13;0;3f878b81-324e-4673-9221-43d34647e76f;3795;5;1;0;1;10 St & 2 Ave;True;40.671.907;-73.993.612;19;11215;1088;
53;32;66dc7659-0aca-11e7-82f6-3863bb44ef7c;501;68;1;0;3;FDR Drive & E 35 St;True;40.744.219;-7.397.121.214;123;10016;1219;
0;0;1,90879E+18;1,90879E+18;18;1;0;1;Marcy Ave & Rutledge St;True;40.703.681;-7.395.427;19;11206;831;
20;0;d837d1b0-8f80-4f6c-ae45-5dd0deec6977;4760;4;1;0;0;33 St & 47 Ave;True;4.074.283;-739.321;24;11101;1806;
75;3;66dd243c-0aca-11e7-82f6-3863bb44ef7c;3122;0;1;0;2;48 Ave & 5 St;True;4.074.436.328.706.680;-739.558.732.509.613;79;11101;1806;
8;1;66dcf023-0aca-11e7-82f6-3863bb44ef7c;3080;12;1;0;1;S 4 St & Rodney St;True;4.070.934;-7.395.608;21;11211;967;
16;5;bc512527-7863-48d5-aea8-3de470abc1ee;4004;4;1;1;0;Edgecombe Ave & W 141 St;True;40.820.681;-73.945.144;21;10030;198;
28;1;868586b3-ddc7-4b4b-9bed-a1e487033aaa;5009;16;1;1;2;Pacific St & Smith St;True;40.687.880.939.612.700;-7.398.939.281.702.040;47;11201;2201;
50;4;66db65aa-0aca-11e7-82f6-3863bb44ef7c;293;42;1;0;12;Lafayette St & E 8 St;True;4.073.020.660.529.950;-7.399.102.628.231.040;105;10003;2245;
87;84;66dc3f08-0aca-11e7-82f6-3863bb44ef7c;477;6;1;2;7;W 41 St & 8 Ave;True;4.075.640.548;-739.900.262;105;10018;841;
23;6;e73cf71b-db05-44f9-b57a-689d65320d68;3493;6;1;0;1;E 118 St & 3 Ave;True;40.799.139;-739.389.152;31;10035;556;
10;1;1,8149E+18;1,8149E+18;11;1;0;0;Clarkson Ave & E 37 St;True;4.065.577;-739.432;22;11203;742;
54;0;3b7cdac2-c7cb-413b-b8e4-7ee5c58260a4;4749;8;1;0;4;N Moore St & Hudson St;True;4.071.996.118.117.130;-7.400.844.320.654.860;66;10013;1239;
9;0;8f72fe26-98aa-4e87-a612-9ae0eb1d9a38;4810;12;1;0;1;62 St & 34 Ave;True;4.075.201;-7.389.986;22;11377;1095;
8;3;b64eb0a5-d6d4-4f45-8c9a-e2d004819c99;4305;10;1;0;1;34 Ave & 31 St;True;40.759.604.471.387.900;-7.392.714.411.020.270;19;11106;571;
6;4;0197e9da-ae03-40a7-8270-fe500bfc9e18;4171;14;1;0;1;Boston Rd & E 167 St;True;40.828.199;-73.903.719;21;10456;607;
6;2;a82cc641-0926-4a63-b488-7060ab7dcd74;4784;21;1;0;5;43 Ave & 47 St;True;407.448.062.877.224;-7.391.728.967.428.200;33;11104;289;
